state,State,goal,pledged,backers_count,campaign_length,decision_timing,spotlight,staff_pick,category_name,parent_category,usd_pledged,Blurb length,Blurb caps,Name Length,Name Caps,created_at,deadline,launched_at,fx_rate,static_usd_rate,state_changed_at,name,country,blurb,category,,
successful,1,500,581,25,2458809,2458809,TRUE,FALSE,"design/product design""",design,581.0,110,6,30,5,1578273089,1581476400,1579017591,1,1,1581476400,Watch Prints - It's About Time,US,Hand-finished art collection celebrating iconic watches and the history of horology. It's about time. Make 100,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",,
successful,1,3500,4188,35,1814400,1814400,TRUE,FALSE,"art/painting""",art,4188.0,112,2,46,6,1335991270,1338240647,1336426247,1,1,1338240647,Tyler School of Art: Summer Painting Residency,US,This is a seven-week painting residency where I will create a new body of work that culminates in an exhibition.,"{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}",,
failed,0,2000,0,0,2592000,2592000,FALSE,FALSE,"publishing/young adult""",publishing,0.0,98,4,31,4,1503796093,1506792142,1504200142,1,1,1506792142,Alterna-Nerd Subscription Boxes,US,Alterna-Nerd is a subscription box service that combines books with a passion for 90s pop culture.,"{""id"":328,""name"":""Young Adult"",""slug"":""publishing/young adult"",""position"":15,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/young%20adult""}}}",,
successful,1,2500,2521.32,32,2592000,2592000,TRUE,TRUE,"music/indie rock""",music,1730.1405500364,45,1,13,3,1573436675,1576116453,1573524453,0.72636675,0.68620427,1576116453,Duo Log Vinyl,AU,Help fund the vinyl release of our next album,"{""id"":40,""name"":""Indie Rock"",""slug"":""music/indie rock"",""position"":9,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/indie%20rock""}}}",,
successful,1,1500,3570,78,1814400,1814400,TRUE,FALSE,"theater/immersive""",theater,3570.0,122,9,43,5,1499711920,1505170628,1503356228,1,1,1505170628,Steampunk Haunted House: Halloween Forever!,US,The Steampunk World's Fair teams up with Blackthorne Resort to make their handmade Haunted House into a Steampunk delight!,"{""id"":283,""name"":""Immersive"",""slug"":""theater/immersive"",""position"":4,""parent_id"":17,""parent_name"":""Theater"",""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater/immersive""}}}",,
failed,0,5500,0,0,1296000,1296002,FALSE,FALSE,"food/food trucks""",food,0.0,126,12,59,11,1490930846,1495693613,1494397613,0.75574365,0.73036949,1495693615,El Jefe Eastern Canada's ONLY Authentic Mexican food Truck!,CA,"Almost there! only $5500.00 to go and El Jefe officially hits the streets! 
Street tacos, tamales, burritos, and SO much more!","{""id"":311,""name"":""Food Trucks"",""slug"":""food/food trucks"",""position"":8,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/food%20trucks""}}}",,
live,,1000,1015,28,2592000,2,FALSE,FALSE,"design""",design,1015.0,98,1,31,0,1592157422,1601698485,1599106485,1,1,1599106487,"plastic-free, vegan lotion bars",US,"Reduce your plastic waste with this sustainable, all-natural, and palm oil free skincare solution.","{""id"":7,""name"":""Design"",""slug"":""design"",""position"":5,""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design""}}}",,
successful,1,200,216,10,1820368,1820368,TRUE,FALSE,"music/faith""",music,216.0,47,4,54,5,1552248016,1554156000,1552335632,1,1,1554156000,Help Isaiah William order CDs for their upcoming album,US,Funding the CDs for our upcoming Worship album.,"{""id"":318,""name"":""Faith"",""slug"":""music/faith"",""position"":7,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/faith""}}}",,
failed,0,20000,61,2,2595600,2595601,FALSE,FALSE,"journalism/video""",journalism,61.0,134,3,31,4,1468519822,1479764835,1477169235,1,1,1479764836,North Sentinel Island Uncovered,US,We will use a drone with a camera and audio recording equipment to try to observe the Sentinelese and Jarawa in a non invasive manner.,"{""id"":360,""name"":""Video"",""slug"":""journalism/video"",""position"":4,""parent_id"":13,""parent_name"":""Journalism"",""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism/video""}}}",,
successful,1,7000,7222.33,69,2592000,2592001,TRUE,FALSE,"dance""",dance,7222.33,134,8,27,5,1397625867,1405933526,1403341526,1,1,1405933527,The Big Ask for Beach Dance,US,"Beach Dance wants to go H2O! With waterproof iPods & headphones, this event/experience on Maui will take dance into & under the water.","{""id"":6,""name"":""Dance"",""slug"":""dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance""}}}",,
